period,country,indicator,breakdown,unit,value,flags
desi_2022,AT,desi_1a4,ind_total,pc_ind,75.18,""
desi_2022,BE,desi_1a4,ind_total,pc_ind,67.05,""
desi_2022,BG,desi_1a4,ind_total,pc_ind,43.79,""
desi_2022,CY,desi_1a4,ind_total,pc_ind,59.76,""
desi_2022,CZ,desi_1a4,ind_total,pc_ind,65.93,""
desi_2022,DE,desi_1a4,ind_total,pc_ind,64.75,""
desi_2022,DK,desi_1a4,ind_total,pc_ind,75.67,""
desi_2022,EE,desi_1a4,ind_total,pc_ind,66.47,""
desi_2022,EL,desi_1a4,ind_total,pc_ind,62.29,""
desi_2022,ES,desi_1a4,ind_total,pc_ind,73.52,""
desi_2022,FI,desi_1a4,ind_total,pc_ind,82.91,""
desi_2022,FR,desi_1a4,ind_total,pc_ind,76.15,""
desi_2022,HR,desi_1a4,ind_total,pc_ind,81.25,""
desi_2022,HU,desi_1a4,ind_total,pc_ind,59.1,""
desi_2022,IE,desi_1a4,ind_total,pc_ind,76.97,""
desi_2022,IT,desi_1a4,ind_total,pc_ind,57.74,""
desi_2022,LT,desi_1a4,ind_total,pc_ind,61.24,""
desi_2022,LU,desi_1a4,ind_total,pc_ind,80.28,""
desi_2022,LV,desi_1a4,ind_total,pc_ind,63.67,""
desi_2022,MT,desi_1a4,ind_total,pc_ind,71.46,""
desi_2022,NL,desi_1a4,ind_total,pc_ind,83.34,""
desi_2022,PL,desi_1a4,ind_total,pc_ind,57.08,""
desi_2022,PT,desi_1a4,ind_total,pc_ind,60.93,""
desi_2022,RO,desi_1a4,ind_total,pc_ind,41.46,""
desi_2022,SE,desi_1a4,ind_total,pc_ind,77.09,""
desi_2022,SI,desi_1a4,ind_total,pc_ind,66.17,""
desi_2022,SK,desi_1a4,ind_total,pc_ind,72.35,""
desi_2022,EU,desi_1a4,ind_total,pc_ind,66.16,""
desi_2023,AT,desi_1a4,ind_total,pc_ind,75.18,""
desi_2023,BE,desi_1a4,ind_total,pc_ind,67.05,""
desi_2023,BG,desi_1a4,ind_total,pc_ind,43.79,""
desi_2023,CY,desi_1a4,ind_total,pc_ind,59.76,""
desi_2023,CZ,desi_1a4,ind_total,pc_ind,65.93,""
desi_2023,DE,desi_1a4,ind_total,pc_ind,64.75,""
desi_2023,DK,desi_1a4,ind_total,pc_ind,75.67,""
desi_2023,EE,desi_1a4,ind_total,pc_ind,66.47,""
desi_2023,EL,desi_1a4,ind_total,pc_ind,62.29,""
desi_2023,ES,desi_1a4,ind_total,pc_ind,73.52,""
desi_2023,FI,desi_1a4,ind_total,pc_ind,82.91,""
desi_2023,FR,desi_1a4,ind_total,pc_ind,76.15,""
desi_2023,HR,desi_1a4,ind_total,pc_ind,81.25,""
desi_2023,HU,desi_1a4,ind_total,pc_ind,59.1,""
desi_2023,IE,desi_1a4,ind_total,pc_ind,76.97,""
desi_2023,IT,desi_1a4,ind_total,pc_ind,57.74,""
desi_2023,LT,desi_1a4,ind_total,pc_ind,61.24,""
desi_2023,LU,desi_1a4,ind_total,pc_ind,80.28,""
desi_2023,LV,desi_1a4,ind_total,pc_ind,63.67,""
desi_2023,MT,desi_1a4,ind_total,pc_ind,71.46,""
desi_2023,NL,desi_1a4,ind_total,pc_ind,83.34,""
desi_2023,PL,desi_1a4,ind_total,pc_ind,57.08,""
desi_2023,PT,desi_1a4,ind_total,pc_ind,60.93,""
desi_2023,RO,desi_1a4,ind_total,pc_ind,41.46,""
desi_2023,SE,desi_1a4,ind_total,pc_ind,77.09,""
desi_2023,SI,desi_1a4,ind_total,pc_ind,66.17,""
desi_2023,SK,desi_1a4,ind_total,pc_ind,72.35,""
desi_2023,EU,desi_1a4,ind_total,pc_ind,66.16,""
