period,country,indicator,breakdown,unit,value,flags
desi_2022,AT,desi_1a2,ind_total,pc_ind,63.33,""
desi_2022,BE,desi_1a2,ind_total,pc_ind,54.23,""
desi_2022,BG,desi_1a2,ind_total,pc_ind,31.18,""
desi_2022,CY,desi_1a2,ind_total,pc_ind,50.21,""
desi_2022,CZ,desi_1a2,ind_total,pc_ind,59.69,""
desi_2022,DE,desi_1a2,ind_total,pc_ind,48.92,""
desi_2022,DK,desi_1a2,ind_total,pc_ind,68.65,""
desi_2022,EE,desi_1a2,ind_total,pc_ind,56.37,""
desi_2022,EL,desi_1a2,ind_total,pc_ind,52.48,""
desi_2022,ES,desi_1a2,ind_total,pc_ind,64.16,""
desi_2022,FI,desi_1a2,ind_total,pc_ind,79.18,""
desi_2022,FR,desi_1a2,ind_total,pc_ind,61.96,""
desi_2022,HR,desi_1a2,ind_total,pc_ind,63.37,""
desi_2022,HU,desi_1a2,ind_total,pc_ind,49.09,""
desi_2022,IE,desi_1a2,ind_total,pc_ind,70.49,""
desi_2022,IT,desi_1a2,ind_total,pc_ind,45.6,""
desi_2022,LT,desi_1a2,ind_total,pc_ind,48.84,""
desi_2022,LU,desi_1a2,ind_total,pc_ind,63.79,""
desi_2022,LV,desi_1a2,ind_total,pc_ind,50.8,""
desi_2022,MT,desi_1a2,ind_total,pc_ind,61.23,""
desi_2022,NL,desi_1a2,ind_total,pc_ind,78.94,""
desi_2022,PL,desi_1a2,ind_total,pc_ind,42.93,""
desi_2022,PT,desi_1a2,ind_total,pc_ind,55.31,""
desi_2022,RO,desi_1a2,ind_total,pc_ind,27.82,""
desi_2022,SE,desi_1a2,ind_total,pc_ind,66.52,""
desi_2022,SI,desi_1a2,ind_total,pc_ind,49.67,""
desi_2022,SK,desi_1a2,ind_total,pc_ind,55.18,""
desi_2022,EU,desi_1a2,ind_total,pc_ind,53.92,""
desi_2023,AT,desi_1a2,ind_total,pc_ind,63.33,""
desi_2023,BE,desi_1a2,ind_total,pc_ind,54.23,""
desi_2023,BG,desi_1a2,ind_total,pc_ind,31.18,""
desi_2023,CY,desi_1a2,ind_total,pc_ind,50.21,""
desi_2023,CZ,desi_1a2,ind_total,pc_ind,59.69,""
desi_2023,DE,desi_1a2,ind_total,pc_ind,48.92,""
desi_2023,DK,desi_1a2,ind_total,pc_ind,68.65,""
desi_2023,EE,desi_1a2,ind_total,pc_ind,56.37,""
desi_2023,EL,desi_1a2,ind_total,pc_ind,52.48,""
desi_2023,ES,desi_1a2,ind_total,pc_ind,64.16,""
desi_2023,FI,desi_1a2,ind_total,pc_ind,79.18,""
desi_2023,FR,desi_1a2,ind_total,pc_ind,61.96,""
desi_2023,HR,desi_1a2,ind_total,pc_ind,63.37,""
desi_2023,HU,desi_1a2,ind_total,pc_ind,49.09,""
desi_2023,IE,desi_1a2,ind_total,pc_ind,70.49,""
desi_2023,IT,desi_1a2,ind_total,pc_ind,45.6,""
desi_2023,LT,desi_1a2,ind_total,pc_ind,48.84,""
desi_2023,LU,desi_1a2,ind_total,pc_ind,63.79,""
desi_2023,LV,desi_1a2,ind_total,pc_ind,50.8,""
desi_2023,MT,desi_1a2,ind_total,pc_ind,61.23,""
desi_2023,NL,desi_1a2,ind_total,pc_ind,78.94,""
desi_2023,PL,desi_1a2,ind_total,pc_ind,42.93,""
desi_2023,PT,desi_1a2,ind_total,pc_ind,55.31,""
desi_2023,RO,desi_1a2,ind_total,pc_ind,27.82,""
desi_2023,SE,desi_1a2,ind_total,pc_ind,66.52,""
desi_2023,SI,desi_1a2,ind_total,pc_ind,49.67,""
desi_2023,SK,desi_1a2,ind_total,pc_ind,55.18,""
desi_2023,EU,desi_1a2,ind_total,pc_ind,53.92,""
